filename,title,author,subtitle,confidence,language,rel_path
BORGES Y LA ECONOMÍA.jpg,Borges,Martín Krause,y la economía,0.9,es, Unión Editorial\Atlas Libertas\BORGES Y LA ECONOMÍA.jpg
El-Consorcio.jpg,EL CONSORCIO,Ricardo M. Rojas,,1.0,es, Unión Editorial\Atlas Libertas\El-Consorcio.jpg
_La teoría de la Explotación - Bawerk.jpg,La teoría de la explotación,Eugen von Böhm-Bawerk; Joaquín Reig Albiol,,0.9,es, Unión Editorial\Biblioteca Austriaca\_La teoría de la Explotación - Bawerk.jpg
"_Valor, capital e interés - Bawerk.jpg","Valor, capital, interés",Eugen von Böhm-Bawerk; José Antonio de Aguirre,EL MANUSCRITO DE 1876,0.9,es," Unión Editorial\Biblioteca Austriaca\_Valor, capital e interés - Bawerk.jpg"
Antropología filosófica cristiana y economía de mercado.jpg,Antropología filosófica cristiana y economía de mercado,Gabriel J. Zanotti,,0.9,es, Unión Editorial\Biblioteca Austriaca\Antropología filosófica cristiana y economía de mercado.jpg
Conocimiento Vs. Información - Gabriel Zanotti.jpg,Conocimiento versus Información,Gabriel J. Zanotti,Prólogo de Adrián O. Ravier,0.9,es, Unión Editorial\Biblioteca Austriaca\Conocimiento Vs. Información - Gabriel Zanotti.jpg
El fin de la economía - Sergio Ricossa.jpg,El fin de la economía,Sergio Riccosa,[ENSAYO SOBRE LA PERFECCIÓN],0.9,es, Unión Editorial\Biblioteca Austriaca\El fin de la economía - Sergio Ricossa.jpg
El orden sin plan - Lorenzo Infantino.jpg,El orden sin plan,Lorenzo Infantino,LAS RAZONES DEL INDIVIDUALISMO METODOLÓGICO,0.9,es, Unión Editorial\Biblioteca Austriaca\El orden sin plan - Lorenzo Infantino.jpg
Ignorancia y Libertad - Lorenzo Infantino.jpg,Ignorancia y libertad,Lorenzo Infantino,,1.0,es, Unión Editorial\Biblioteca Austriaca\Ignorancia y Libertad - Lorenzo Infantino.jpg
Karl Popper_ Revisión de su legdo.jpg,Karl R. Popper: Revisión de su legado,Wenceslao J. González,,0.9,es, Unión Editorial\Biblioteca Austriaca\Karl Popper_ Revisión de su legdo.jpg
la escuela austriaca desde adentro ..jpg,La Escuela Austriaca desde adentro,Adrián O. Ravier,[HISTORIAS E IDEAS DE SUS PENSADORES] Volumen 1,0.9,es, Unión Editorial\Biblioteca Austriaca\la escuela austriaca desde adentro ..jpg
la escuela austriaca desde adentro.jpg,La Escuela Austriaca desde adentro,Adrián O. Ravier,[HISTORIAS E IDEAS DE SUS PENSADORES] Volumen II,0.9,es, Unión Editorial\Biblioteca Austriaca\la escuela austriaca desde adentro.jpg
La globalización como orden espontáneo - Adrián Ravier.jpg,La globalización como orden espontáneo,Adrián O. Ravier,Prólogo de Lorenzo Infantino,0.9,es, Unión Editorial\Biblioteca Austriaca\La globalización como orden espontáneo - Adrián Ravier.jpg
La Viena de Popper - Dario Antiseri.jpg,La Viena de Popper,Dario Antiseri,,0.9,es, Unión Editorial\Biblioteca Austriaca\La Viena de Popper - Dario Antiseri.jpg
ATLAS-DEL-LIBERALISMO.jpg,ATLAS DEL LIBERALISMO,Raimondo Cubeddu,,0.9,es, Unión Editorial\Biblioteca de la Libertad\ATLAS-DEL-LIBERALISMO.jpg
Cinco pensadores liberales - Julio H. Cole.jpg,CINCO PENSADORES LIBERALES,Julio H. Cole,,0.9,es, Unión Editorial\Biblioteca de la Libertad\Cinco pensadores liberales - Julio H. Cole.jpg
Debates-economicos-en-tiempos-de-crisis.jpg,Debates económicos en tiempos de crisis,Ángel Soto; Paulo Roberto de Almeida; Carolina Cerrano; Sebastián Edwards; Fabián Herrera; Carlos Newland; José A. Sánchez Román,La Conferencia Monetaria de Londres y América Latina,0.9,es, Unión Editorial\Biblioteca de la Libertad\Debates-economicos-en-tiempos-de-crisis.jpg
DESARROLLO-Y-CALIDAD-DE-VIDA.jpg,DESARROLLO,CARLOS SABINO; Manuel F. Ayau Córdoba,Y CALIDAD DE VIDA,0.9,es, Unión Editorial\Biblioteca de la Libertad\DESARROLLO-Y-CALIDAD-DE-VIDA.jpg
El liberalismo económico en 10 en principios.jpg,EL LIBERALISMO ECONÓMICO,Iván Carrino; Gloria Álvarez,EN 10 PRINCIPIOS,0.9,es, Unión Editorial\Biblioteca de la Libertad\El liberalismo económico en 10 en principios.jpg
EL-GENIO-DE-OCCIDENTE.jpg,EL GENIO DE OCCIDENTE,LOUIS ROUGIER; Presentación de F.A. Hayek,[Raíces clásicas y cristianas de la civilización occidental],0.9,es, Unión Editorial\Biblioteca de la Libertad\EL-GENIO-DE-OCCIDENTE.jpg
EN DESEQUILIBRIO.jpeg,EN DESEQUILIBRIO,IVO A. SARJANOVIC,Ensayos sobre procesos de mercado,1.0,es, Unión Editorial\Biblioteca de la Libertad\EN DESEQUILIBRIO.jpeg
LA FIGURA EMPRESARIAL EN EL PENSAMIENTO ECONÓMICO 2A. EDICIÓN.jpg,LA FIGURA EMPRESARIAL EN EL PENSAMIENTO ECONÓMICO,MARÍA CLARA D. PÉREZ VILA,Una aproximación histórica,0.9,es, Unión Editorial\Biblioteca de la Libertad\LA FIGURA EMPRESARIAL EN EL PENSAMIENTO ECONÓMICO 2A. EDICIÓN.jpg
La Inteligencia del Dinero.jpg,LA INTELIGENCIA DEL DINERO,ALBERTO MINGARDI,Por qué el mercado también es apropiado cuando se equivoca,0.9,es, Unión Editorial\Biblioteca de la Libertad\La Inteligencia del Dinero.jpg
La Libre Empresa - Francisco Pérez de Anton.jpg,LA LIBRE EMPRESA,FRANCISCO PÉREZ DE ANTÓN,"Una introducción a sus fundamentos morales, jurídicos y económicos",0.9,es, Unión Editorial\Biblioteca de la Libertad\La Libre Empresa - Francisco Pérez de Anton.jpg
La metodología del análisis económico.jpg,LA METODOLOGÍA DEL ANÁLISIS ECONÓMICO,Julio H. Cole,y otros ensayos,0.9,es, Unión Editorial\Biblioteca de la Libertad\La metodología del análisis económico.jpg
Sentido Liberal - Héctor Ñaupari.jpg,SENTIDO LIBERAL,HÉCTOR NAUPARI,El urgente sendero de la Libertad,0.9,es, Unión Editorial\Biblioteca de la Libertad\Sentido Liberal - Héctor Ñaupari.jpg
_ensayos-de-teoria-economica-volumen-i.jpg,Ensayos de teoría económica,Eugen von Böhm-Bawerk,Volumen I,0.9,es, Unión Editorial\Clásicos de la Libertad\_ensayos-de-teoria-economica-volumen-i.jpg
Guia-de-la-Libertad-para-principiantes.jpg,GUÍA DE LA LIBERTAD PARA PRINCIPIANTES,RICHARD WELLINGS (Ed.),,0.9,es, Unión Editorial\Colección Avance\Guia-de-la-Libertad-para-principiantes.jpg
71RQGIcbh-L._SY466_.jpg,LA DEMOCRACIA INDIVIDUALISTA,YVES GUYOT,,0.9,es, Unión Editorial\Colección La Antorcha\71RQGIcbh-L._SY466_.jpg
como-se-razona-en-filosofia.jpg,CÓMO SE RAZONA EN FILOSOFÍA,DARIO ANTISERI,POR QUÉ Y CÓMO ENSEÑAR HISTORIA DE LA FILOSOFÍA,0.9,es, Unión Editorial\Colección La Antorcha\como-se-razona-en-filosofia.jpg
El-amanecer-de-la-libertad.jpg,EL AMANECER DE LA LIBERTAD,CARLOS SABINO,LA INDEPENDENCIA DE AMÉRICA LATINA,0.9,es, Unión Editorial\Colección La Antorcha\El-amanecer-de-la-libertad.jpg
EL-ESTADO-MODERNO-2.jpg,EL ESTADO MODERNO,Nicola Matteucci,léxico y exploraciones,0.9,es, Unión Editorial\Colección La Antorcha\EL-ESTADO-MODERNO-2.jpg
lecciones-de-historia-del-pensamiento-politico-volumen-ii.jpg,Lecciones de historia del pensamiento político,MICHAEL OAKESHOTT; Francisco Javier López Atanes,VOLÚMEN II. EL CARÁCTER DEL ESTADO EUROPEO MODERNO,0.9,es, Unión Editorial\Colección La Antorcha\lecciones-de-historia-del-pensamiento-politico-volumen-ii.jpg
leo-strauss-sobre-cristianismo-liberalismo-y-economia-1.jpg,"Leo Strauss sobre Cristianismo, Liberalismo y Economía",Raimondo Cubeddu,,0.9,es, Unión Editorial\Colección La Antorcha\leo-strauss-sobre-cristianismo-liberalismo-y-economia-1.jpg
Organizaciones.jpg,ORGANIZACIONES,ANTONIO COCOZZA,"CULTURAS, MODELOS, GOBERNANZA",0.9,es, Unión Editorial\Colección La Antorcha\Organizaciones.jpg
TURGOT.jpg,"Turgot, el último ilustrado",Paloma de la Nuez,,0.9,es, Unión Editorial\Colección La Antorcha\TURGOT.jpg
CREADORES-DE-RIQUEZA.jpg,Creadores de riqueza,Alejandro Gómez,Emprendedores que cambiaron nuestras vidas,0.9,es, Unión Editorial\CREADORES-DE-RIQUEZA.jpg
51S2+DcRxFL._SY466_.jpg,África es así,José-Ramón Ferrandis Muñoz,Instituciones o pobreza,0.9,es, Unión Editorial\Cristianismo y Economía de Mercado\51S2+DcRxFL._SY466_.jpg
CRIMEN DE ESTADO.jpg,CRIMEN DE ESTADO,JOSÉ-RAMÓN FERRANDIS MUÑOZ,Cristianismo y Economía de Mercado,0.9,es, Unión Editorial\Cristianismo y Economía de Mercado\CRIMEN DE ESTADO.jpg
Globalización y generación de riqueza.png,GLOBALIZACIÓN Y GENERACIÓN DE RIQUEZA,JOSÉ-RAMÓN FERRANDIS MUÑOZ,SEGUNDA EDICIÓN,0.9,es, Unión Editorial\Cristianismo y Economía de Mercado\Globalización y generación de riqueza.png
Los Ricos ante la Opinión Pública - Rainer Zitelmann.jpg,LOS RICOS ANTE LA OPINIÓN PÚBLICA,Rainer Zitelmann,Cristianismo y Economía de Mercado,0.9,es, Unión Editorial\Cristianismo y Economía de Mercado\Los Ricos ante la Opinión Pública - Rainer Zitelmann.jpg
Un-liberal-cristiano.jpg,UN LIBERAL CRISTIANO,RAFAEL TERMES,HOMENAJE A RAFAEL TERMES,0.9,es, Unión Editorial\Cristianismo y Economía de Mercado\Un-liberal-cristiano.jpg
EL MISTERIO DEL DINERO.jpeg,El misterio del dinero,José Antonio de Aguirre,Segunda edición,0.9,es, Unión Editorial\Cuadernos Liberales\EL MISTERIO DEL DINERO.jpeg
EL PAPA FRANCISCO. LA SOCIEDAD ABIERTA Y LA DOCTRINA SOCIAL DE LA IGLESIA.jpg,"EL PAPA FRANCISCO, LA SOCIEDAD ABIERTA Y LA DOCTRINA SOCIAL DE LA IGLESIA",Lorenzo Infantino,Fratelli Tutti (Hermanos Todos),0.9,es, Unión Editorial\Cuadernos Liberales\EL PAPA FRANCISCO. LA SOCIEDAD ABIERTA Y LA DOCTRINA SOCIAL DE LA IGLESIA.jpg
Espana-y-la-decada-perdida.jpg,España,José Antonio de Aguirre,y la década perdida,0.9,es, Unión Editorial\Cuadernos Liberales\Espana-y-la-decada-perdida.jpg
LA UNIÓN EUROPEA EN LA ENCRUCIJADA.jpg,La Unión Europea en la encrucijada,Juergen B. Donges,,0.9,es, Unión Editorial\Cuadernos Liberales\LA UNIÓN EUROPEA EN LA ENCRUCIJADA.jpg
La-batalla-contra-la-pobreza-y-la-desigualdad.jpg,LA BATALLA CONTRA LA POBREZA Y LA DESIGUALDAD,José Antonio de Aguirre,,0.9,es, Unión Editorial\Cuadernos Liberales\La-batalla-contra-la-pobreza-y-la-desigualdad.jpg
La-Escuela-Austriaca-en-los-negocios.jpg,LA ESCUELA AUSTRIACA EN LOS NEGOCIOS,Alberto Benegas Lynch (h); Adrián Ravier,,0.9,es, Unión Editorial\Cuadernos Liberales\La-Escuela-Austriaca-en-los-negocios.jpg
La-revolucion-capitalista-de-China.jpg,La revolución capitalista de China,José Antonio de Aguirre,,0.9,es, Unión Editorial\Cuadernos Liberales\La-revolucion-capitalista-de-China.jpg
sxhfdxh.jpg,Cinco manifiestos liberales,José María Méndez,(2015-2019),0.9,es, Unión Editorial\Cuadernos Liberales\sxhfdxh.jpg
¿ES LA INFLACIÓN LA PRÓXIMA AMENAZA_.jpg,¿Es la inflación la próxima amenaza?,Juan Castañeda Fernández; Tim Congdon,,0.9,es, Unión Editorial\Cuadernos Liberales\¿ES LA INFLACIÓN LA PRÓXIMA AMENAZA_.jpg
_ Individuo y Sociedad - Ricardo M. Rojas.jpg,INDIVIDUO Y SOCIEDAD,RICARDO M. ROJAS,Seis ensayos desde el individualismo metodológico,0.9,es, Unión Editorial\Derecho y Libertad\_ Individuo y Sociedad - Ricardo M. Rojas.jpg
JUSTICIA A LA VENTA DESCUBRE EL PRECIO DE LA CORRUPCIÓN.jpg,JUSTICIA A LA VENTA,PABLO SÁNCHEZ NASSIF,Descubre el precio de la corrupción,0.9,es, Unión Editorial\Derecho y Libertad\JUSTICIA A LA VENTA DESCUBRE EL PRECIO DE LA CORRUPCIÓN.jpg
LA SUPRESIÓN DE LA PROPIEDAD COMO CRIMEN DE LESA HUMANIDAD. EL CASO VENEZUELA.jpg,LA SUPRESIÓN DE LA PROPIEDAD COMO CRIMEN DE LESA HUMANIDAD,RICARDO M. ROJAS; ANDREA RONDÓN GARCÍA,El caso Venezuela,0.9,es, Unión Editorial\Derecho y Libertad\LA SUPRESIÓN DE LA PROPIEDAD COMO CRIMEN DE LESA HUMANIDAD. EL CASO VENEZUELA.jpg
la-decision-judicial-y-la-certidumbre-juridica.jpg,LA DECISIÓN JUDICIAL Y LA CERTIDUMBRE JURÍDICA,RICARDO MANUEL ROJAS,,1.0,es, Unión Editorial\Derecho y Libertad\la-decision-judicial-y-la-certidumbre-juridica.jpg
EL-PODER-FISCAL.jpg,El poder fiscal,Geoffrey Brennan; James M. Buchanan,Fundamentos analíticos de una constitución fiscal,1.0,es, Unión Editorial\EL-PODER-FISCAL.jpg
EMPRESAS-FAMILIARES.jpg,EMPRESAS FAMILIARES: LA PROFESIONALIZACIÓN DE LOS CONSEJEROS DE FAMILIA,FERNANDO NOGALES LOZANO,,1.0,es, Unión Editorial\Empresa Familiar\EMPRESAS-FAMILIARES.jpg
la-educacion-econommica-de-las-empresas-familiars1-95c3.png,LA EDUCACIÓN ECONÓMICA DE LAS EMPRESAS FAMILIARES,FERNANDO NOGALES LOZANO,Desde la perspectiva de la Escuela Austriaca de Economía,0.9,es, Unión Editorial\Empresa Familiar\la-educacion-econommica-de-las-empresas-familiars1-95c3.png
la-importancia-del-empresario-familiar-en-la-riqueza-de.png,LA IMPORTANCIA DEL EMPRESARIO FAMILIAR EN LA RIQUEZA DE LOS PAÍSES,FERNANDO NOGALES LOZANO (Coordinador),,0.9,es, Unión Editorial\Empresa Familiar\la-importancia-del-empresario-familiar-en-la-riqueza-de.png
Lecturas-para-una-teoria-economica.jpg,Teoría económica de la empresa,ADRIÁN O. RAVIER; LEONARDO RAVIER,Del contractualismo a la Escuela Austriaca y el Constitucionalismo,0.9,es, Unión Editorial\Empresa Familiar\Lecturas-para-una-teoria-economica.jpg
Teoría económica de la empresa.jpg,Teoría económica de la empresa,Adrián O. Ravier; Leonardo Ravier,Del contractualismo a la Escuela Austriaca y el Constitucionalismo,0.9,es, Unión Editorial\Empresa Familiar\Teoría económica de la empresa.jpg
filosofixxa-para-filoxxsofos.jpg,Filosofía para filósofos,Gabriel J. Zanotti,,0.9,es, Unión Editorial\filosofixxa-para-filoxxsofos.jpg
IMG_20250415_154341.jpg,LA MÁQUINA FINANCIERA DEL EXPOLIO,Vicente Moreno; Alberto Romero,CÓMO BANCOS Y GOBIERNOS SE LUCRAN A TU COSTA,0.9,es, Unión Editorial\IMG_20250415_154341.jpg
IMG_20250416_162447.jpg,FUNDAMENTOS DE LA BANCA CENTRAL Y DE LA LIBERTAD BANCARIA,VERA C. SMITH,,0.9,es, Unión Editorial\IMG_20250416_162447.jpg
La sabiduría de Henry Hazlitt.jpg,La sabiduría de,Henry Hazlitt,,0.9,es, Unión Editorial\La sabiduría de Henry Hazlitt.jpg
La-familia-en-la-actualidad-1.jpg,"LA FAMILIA EN LA ACTUALIDAD, PROFECÍA DE UNA NUEVA HUMANIDAD",JUAN JOSÉ PÉREZ-SOBA DIEZ DEL CORRAL,,0.9,es, Unión Editorial\La-familia-en-la-actualidad-1.jpg
la-libertad-de-emision-del-dinero-bancario.jpg,LA LIBERTAD DE EMISIÓN DEL DINERO BANCARIO,GEORGE A. SELGIN,Crítica del monopolio del Banco Emisor Central,0.9,es, Unión Editorial\la-libertad-de-emision-del-dinero-bancario.jpg
la-teoria-austriaca-del-valor-el-capital-y-el-interes.jpg,"LA TEORÍA AUSTRIACA DEL VALOR, EL CAPITAL Y EL INTERÉS",Klaus H. Hennings,Vida y obra de Eugen von Böhm-Bawerk,0.9,es, Unión Editorial\la-teoria-austriaca-del-valor-el-capital-y-el-interes.jpg
Adam-Smith-Resumido.jpg,Adam Smith: La riqueza de las naciones y La teoría de los sentimientos morales,Eamonn Butler,resumidas,0.9,es, Unión Editorial\Laissez-Faire\Adam-Smith-Resumido.jpg
El-rostro-humano-del-capitalismo-global.jpg,EL ROSTRO HUMANO DEL CAPITALISMO GLOBAL,Adrián O. Ravier,"Ensayos de Historia, Política y Economía",0.9,es, Unión Editorial\Laissez-Faire\El-rostro-humano-del-capitalismo-global.jpg
La-amenaza-de-huelga.jpg,LA AMENAZA DE HUELGA,William H. Hutt,Consecuencias económicas de la contratlación colectiva,0.9,es, Unión Editorial\Laissez-Faire\La-amenaza-de-huelga.jpg
la-contratacion-colectiva.jpg,LA CONTRATACIÓN COLECTIVA,William H. Hutt; Juan Pablo Maldonado Moreno,,0.9,es, Unión Editorial\Laissez-Faire\la-contratacion-colectiva.jpg
PRINCIPIOS-LIBERALES.jpg,PRINCIPIOS LIBERALES,Dario Antiseri,,0.9,es, Unión Editorial\Laissez-Faire\PRINCIPIOS-LIBERALES.jpg
lecciones-breves-de-una-crisis-economica-2007-2014.jpg,Lecciones breves de una crisis económica,José Antonio de Aguirre,2007-2014,0.9,es, Unión Editorial\lecciones-breves-de-una-crisis-economica-2007-2014.jpg
Bienestar-para-todos.jpg,Bienestar para todos,Ludwig Erhard; Enrique Tierno Galván,,0.9,es, Unión Editorial\Monografías\Bienestar-para-todos.jpg
Cartas-de-un-culpable-liberal.jpg,Cartas de un «culpable» liberal,Álvaro Lodares Pérez; Bernardo Rabassa,Prólogo de Bernardo Rabassa,0.9,es, Unión Editorial\Monografías\Cartas-de-un-culpable-liberal.jpg
CONTRA-EL-INTERVENCIONISMO.jpg,Contra el intervencionismo,Álvaro Lodares Pérez,Prólogo de Jesús Huerta de Soto,0.9,es, Unión Editorial\Monografías\CONTRA-EL-INTERVENCIONISMO.jpg
Desde-la-Libertad.jpg,Desde la Libertad,Álvaro Lodares Pérez,Prólogo de Lorenzo Bernaldo de Quirós,0.9,es, Unión Editorial\Monografías\Desde-la-Libertad.jpg
Escritos-liberales.jpg,Escritos liberales,Álvaro Ladares Pérez,Prólogo de Francisco Cabrillo Prefacio de Juan Ramón Rallo,0.9,es, Unión Editorial\Monografías\Escritos-liberales.jpg
etica-clasicos.jpg,ÉTICA,LEONARDO POLO,Hacia una versión moderna de los temas clásicos,0.9,es, Unión Editorial\Monografías\etica-clasicos.jpg
etica-economica.jpg,Ética económica,Arthur F. Utz,Introducción de Santiago García Echevarría,0.9,es, Unión Editorial\Monografías\etica-economica.jpg
JUSTICIA A LA VENTA DESCUBRE EL PRECIO DE LA CORRUPCIÓN.jpg,Nación y nacionalismos,JOAN COSTA BOU,,0.9,es, Unión Editorial\Monografías\JUSTICIA A LA VENTA DESCUBRE EL PRECIO DE LA CORRUPCIÓN.jpg
POBREZA-Y-MERCADO.jpg,Pobreza y mercado,Álvaro Lodares Pérez,Prólogo de Dalmacio Negro,0.9,es, Unión Editorial\Monografías\POBREZA-Y-MERCADO.jpg
61tJ6cfLDyL._SY466_.jpg,LA ECONOMÍA Y EL BIENESTAR PÚBLICO,BENJAMIN M. ANDERSON,HISTORIA FINANCIERA Y ECONÓMICA DE LOS ESTADOS UNIDOS (1914-1946),0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\61tJ6cfLDyL._SY466_.jpg
_EL-VERDADERO-LINCOLN.jpg,EL VERDADERO LINCOLN,THOMAS J. DILORENZO,"UNA NUEVA VISIÓN DE ABRAHAM LINCOLN, SU PROGRAMA Y UNA GUERRA INNECESARIA",0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\_EL-VERDADERO-LINCOLN.jpg
_La Educación y el Estado - E.G. West.jpg,LA EDUCACIÓN Y EL ESTADO,E. G. WEST,Un Estudio de Economía Política,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\_La Educación y el Estado - E.G. West.jpg
_La soberanía del individuo - Pierre Lemieux.jpg,LA SOBERANÍA DEL INDIVIDUO,PIERRE LEMIEUX,FUNDAMENTOS Y CONSECUENCIAS DEL NUEVO LIBERALISMO,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\_La soberanía del individuo - Pierre Lemieux.jpg
_maxxs-allaxx-de-la-oferta-y-la-demanda.jpg,Más allá de la oferta y la demanda,Wilhelm Röpke,segunda edición,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\_maxxs-allaxx-de-la-oferta-y-la-demanda.jpg
CONDUCTA-HUMANA-Y-SOCIEDAD-CIVIL.jpg,CONDUCTA HUMANA Y SOCIEDAD CIVIL,FRANCISCO JAVIER LÓPEZ ATANES,INTRODUCCIÓN A LA FILOSOFÍA POLÍTICA DE M. OAKESHOTT,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\CONDUCTA-HUMANA-Y-SOCIEDAD-CIVIL.jpg
EL DESAFÍO DE HAYEK.jpg,El desafío de Hayek,Bruce Caldwell,UNA BIOGRAFÍA INTELECTUAL DE F.A. HAYEK,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\EL DESAFÍO DE HAYEK.jpg
EL-IDEAL-CULTURAL-DEL-LIBERALISMO.jpg,EL IDEAL CULTURAL DEL LIBERALISMO,Andreas A. Böhmler,La filosofía política del ordo-liberalismo,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\EL-IDEAL-CULTURAL-DEL-LIBERALISMO.jpg
EL-NEW-DEAL-DEL-COMERCIO-GLOBAL.jpg,EL NEW DEAL DEL COMERCIO GLOBAL,APARICIO CAICEDO,GÉNESIS IDEOLÓGICA DEL ORDENAMIENTO ECONÓMICO DE LA POSGUERRA,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\EL-NEW-DEAL-DEL-COMERCIO-GLOBAL.jpg
"Escuela Austríaca en los Negocios_ Teoría del Caos, Pensa, Pensatiemo no Lineal y la Perspectiva Ética.png","ESCUELA AUSTRÍACA EN LOS NEGOCIOS: TEORÍA DEL CAOS, PENSAMIENTO NO LINEAL Y LA PERSPECTIVA ÉTICA",Alberto Benegas Lynch (h); Adrián Ravier,,0.9,es," Unión Editorial\Nueva Biblioteca de la Libertad\Escuela Austríaca en los Negocios_ Teoría del Caos, Pensa, Pensatiemo no Lineal y la Perspectiva Ética.png"
estudios-de-politica-economica.jpg,Estudios de política económica,Juergen B. Donges,(1998-2006),0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\estudios-de-politica-economica.jpg
FUNDAMENTOS-DE-LA-BANCA-CENTRAL-Y-DE-LA-LIBERTAD-BANCARIA.jpg,Fundamentos de la banca central y de la libertad bancaria,Vera C. Smith,,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\FUNDAMENTOS-DE-LA-BANCA-CENTRAL-Y-DE-LA-LIBERTAD-BANCARIA.jpg
la-agricultura-y-el-estado.jpg,LA AGRICULTURA Y EL ESTADO,"E.C. PASOUR, JR.; RANDAL R. RUCKER",UN ANÁLISIS CRÍTICO SOBRE LA INTERVENCIÓN DEL ESTADO EN LA AGRICULTURA,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\la-agricultura-y-el-estado.jpg
la-economia-del-tiempo-y-de-la-ignorancia.jpg,LA ECONOMÍA DEL TIEMPO Y DE LA IGNORANCIA,"GERALD P. O'DRISCOLL, Jr.; MARIO J. RIZZO",,1.0,es, Unión Editorial\Nueva Biblioteca de la Libertad\la-economia-del-tiempo-y-de-la-ignorancia.jpg
la-fuerza-economica-de-la-libertad.jpg,LA FUERZA ECONÓMICA DE LA LIBERTAD,JOSÉ JUAN FRANCH,,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\la-fuerza-economica-de-la-libertad.jpg
la-teoria-de-la-economia.jpg,LA TEORÍA DE LA ECONOMÍA,Wilhelm Röpke,QUINTA EDICIÓN,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\la-teoria-de-la-economia.jpg
las-raices-del-capitalismo-1.jpg,LAS RAÍCES DEL CAPITALISMO,John Chamberlain,,1.0,es, Unión Editorial\Nueva Biblioteca de la Libertad\las-raices-del-capitalismo-1.jpg
Liberalismo-contra-liberalismo.jpg,Liberalismo contra liberalismo,Javier Aranzadi del Cerro,Análisis teórico de las obras de Ludwig von Mises y Gary Becker,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\Liberalismo-contra-liberalismo.jpg
liberalismo-y-estatismo-en-el-siglo-de-oro-espanol.jpg,Liberalismo y estatismo en el siglo de oro español,Rogelio Fernández Delgado,,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\liberalismo-y-estatismo-en-el-siglo-de-oro-espanol.jpg
Libro Faltante.webp,ECOLOGÍA DE MERCADO,TERRY L. ANDERSON; DONALD R. LEAL,,0.9,es, Unión Editorial\Nueva Biblioteca de la Libertad\Libro Faltante.webp
