cover_path,cover_name,cover_kind,cover_norm,status,score,method,pdf_path,pdf_name,candidate_2,score_2,candidate_3,score_3
"D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\_Valor, capital e interés - Bawerk.jpg","_Valor, capital e interés - Bawerk.jpg",title,valor capital e interes bawerk,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\➕ Más\Economía Avanzada\Bawerk - Capital e Interés.pdf,Bawerk - Capital e Interés.pdf,Bawerk - Teoría Positiva del Capital.pdf,75.9,"Oro, Interes, Báse - Antal E. Fekete.pdf",60.9
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\Antropología filosófica cristiana y economía de mercado.jpg,Antropología filosófica cristiana y economía de mercado.jpg,title,antropologia filosofica cristiana y economia de mercado,review,82.6,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 💹 Capitalismo y Libre Mercado\  Libre Mercado\Raíces cristianas de la economía de libre mercado.PDF,Raíces cristianas de la economía de libre mercado.PDF,Economía Doméstica.pdf,77.8,La Escuela Austriaca de Economía y la Economía Social de Mercado_.pdf,73.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\Conocimiento Vs. Información - Gabriel Zanotti.jpg,Conocimiento Vs. Información - Gabriel Zanotti.jpg,title,conocimiento vs informacion gabriel zanotti,no_match,67.5,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\➕ Varios\Caminos abiertos (Biblioteca Au - Gabriel Zanotti.pdf,Caminos abiertos (Biblioteca Au - Gabriel Zanotti.pdf, Principios basicos de la Escuel - Gabriel J. Zanotti.pdf,62.7,Kinsella - Conocimiento versus cálculo.pdf,61.5
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\El fin de la economía - Sergio Ricossa.jpg,El fin de la economía - Sergio Ricossa.jpg,title,el fin de la economia sergio ricossa,no_match,73.2,token_set,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\ Peter T. Leeson\Leeson - El Gran Circo de la Economía.pdf,Leeson - El Gran Circo de la Economía.pdf,La Economía Neoclásica.pdf,72.7,El Metodo de la Economia Politica - Adrian O Ravier.pdf,66.7
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\El orden sin plan - Lorenzo Infantino.jpg,El orden sin plan - Lorenzo Infantino.jpg,title,el orden sin plan lorenzo infantino,no_match,59.6,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\    💛 LIBERTAD\ 🌗 Anarco-Capitalismo\Rachels - Un Orden Espontaneo.PDF,Rachels - Un Orden Espontaneo.PDF,El Orden Espontáneo de la Globalización.pdf,59.3, Orden Sin Diseño_ El Alma Oculta de la Ciudad.pdf,58.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\Ignorancia y Libertad - Lorenzo Infantino.jpg,Ignorancia y Libertad - Lorenzo Infantino.jpg,title,ignorancia y libertad lorenzo infantino,review,76.5,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 🏛️ Intervencionismo\Dinero y Bancos\Moneda y libertad.pdf,Moneda y libertad.pdf,Libertad y Prensa.pdf,74.1,Harper - Democracia y Libertad.pdf,69.4
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\Karl Popper_ Revisión de su legdo.jpg,Karl Popper_ Revisión de su legdo.jpg,title,karl popper revision de su legdo,no_match,71.4,partial,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\ Karl Hess\ Karl Hess.pdf, Karl Hess.pdf,Huerta - Ahorro y Previsión en el Seguro de Vida.pdf,59.4,Gordon - Popper y el curso de la historia.pdf,59.2
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\la escuela austriaca desde adentro ..jpg,la escuela austriaca desde adentro ..jpg,title,la escuela austriaca desde adentro,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2023\ Julio-Diciembre\ Noviembre\Escuela Austriaca.pdf,Escuela Austriaca.pdf,Escuela Austriaca.pdf,100.0,La Escuela Austriaca_.pdf,100.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\la escuela austriaca desde adentro.jpg,la escuela austriaca desde adentro.jpg,title,la escuela austriaca desde adentro,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2023\ Julio-Diciembre\ Noviembre\Escuela Austriaca.pdf,Escuela Austriaca.pdf,Escuela Austriaca.pdf,100.0,La Escuela Austriaca_.pdf,100.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\La globalización como orden espontáneo - Adrián Ravier.jpg,La globalización como orden espontáneo - Adrián Ravier.jpg,title,la globalizacion como orden espontaneo adrian ravier,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 💹 Capitalismo y Libre Mercado\  Libre Mercado\Artículos\Orden espontáneo.pdf,Orden espontáneo.pdf,El Orden Espontáneo de la Globalización.pdf,97.7,Rachels - Un Orden Espontaneo.PDF,78.4
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca Austriaca\La Viena de Popper - Dario Antiseri.jpg,La Viena de Popper - Dario Antiseri.jpg,title,la viena de popper dario antiseri,no_match,63.5,token_set,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\  Hans-Hermann Hoppe\Hoppe - La mente de Hans-Hermann Hoppe.pdf,Hoppe - La mente de Hans-Hermann Hoppe.pdf,Hoppe - Análisis de clase marxista y austriaco.pdf,62.3,Hoppe - La ciencia de la acción humana.pdf,60.6
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\ATLAS-DEL-LIBERALISMO.jpg,ATLAS-DEL-LIBERALISMO.jpg,title,atlas del liberalismo,auto,90.5,partial,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\ David Gordon\Artículos cortos\Gordon - Una caricatura del liberalismo clásico_ todo se trata de individualismo y materialismo.pdf,Gordon - Una caricatura del liberalismo clásico_ todo se trata de individualismo y materialismo.pdf,Moras y Cardella - Derecho Natural_ La Base del Liberalismo.pdf,90.0,Contradicciones y posibilidades del liberalismo _utilitarista como ideología moderna.pdf,85.7
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\Cinco pensadores liberales - Julio H. Cole.jpg,Cinco pensadores liberales - Julio H. Cole.jpg,title,cinco pensadores liberales julio h cole,no_match,59.6,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2024\ Julio-Diciembre\Octubre\Caminos de libre mercado.pdf,Caminos de libre mercado.pdf,Panfletos liberales IV (Carlos Rodríguez Braun).pdf,57.6,Hoppe - Los errores del liberalismo clásico.pdf,57.5
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\Debates-economicos-en-tiempos-de-crisis.jpg,Debates-economicos-en-tiempos-de-crisis.jpg,title,debates economicos en tiempos de crisis,no_match,71.8,token_set+overlap,"D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 🏛️ Intervencionismo\Crisis y ciclos\En tiempos de crisis, necesitamos la libertad más que nunca.pdf","En tiempos de crisis, necesitamos la libertad más que nunca.pdf",La teoría austríaca de ciclos económicos y la _crisis subprime.pdf,71.8,Mises - Las Causas de la Crisis Economica.pdf,66.7
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\DESARROLLO-Y-CALIDAD-DE-VIDA.jpg,DESARROLLO-Y-CALIDAD-DE-VIDA.jpg,title,desarrollo y calidad de vida,no_match,69.8,token_set,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2023\ Julio-Diciembre\Julio\Principios Modernos de Economía del Desarrollo. Teoría y práctica (Víctor I. Espinosa).pdf,Principios Modernos de Economía del Desarrollo. Teoría y práctica (Víctor I. Espinosa).pdf,Desarrollo de proyectos de software libre (Varios).pdf,66.7,El desarrollo sustentable_aportaciones de la_escuela austriaca de_economía.pdf,63.4
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\El liberalismo económico en 10 en principios.jpg,El liberalismo económico en 10 en principios.jpg,title,el liberalismo economico en 10 en principios,review,81.2,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2024\ Enero-Junio\Marzo - Abril\Quispe - Liberalismo.pdf,Quispe - Liberalismo.pdf,Huerta - Los Principios de Liberalismo.pdf,79.9,Rothbard - Los principios del liberalismo en la Inglaterra del siglo XVII.pdf,79.8
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\EL-GENIO-DE-OCCIDENTE.jpg,EL-GENIO-DE-OCCIDENTE.jpg,title,el genio de occidente,review,83.3,token_set,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 💹 Capitalismo y Libre Mercado\ Capitalismo\Escritos varios\Hernando de Soto - Por qué el Capitalismo triunfa en Occidente y Fracasa en el resto del mundo.pdf,Hernando de Soto - Por qué el Capitalismo triunfa en Occidente y Fracasa en el resto del mundo.pdf,La Decada Perdida de Occidente Un Manifiesto Contra la Gran Recesion.pdf,76.2,J. García - El Rebaño_ Como Occidente a sucumbido a la tiranía idiológica.pdf,72.7
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\EN DESEQUILIBRIO.jpeg,EN DESEQUILIBRIO.jpeg,title,en desequilibrio,no_match,62.5,partial,D:\Documentos\Acracia\Biblioteca Acracia\     ✍️ EDITORIAL Acraci\🖼️ Diseños\Adriá - ¿Qué es el Liberalismo_.pdf,Adriá - ¿Qué es el Liberalismo_.pdf,Kinsella - El Origen del «Libertarismo».pdf,62.5,Libertario en 30 días.pdf,59.5
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\LA FIGURA EMPRESARIAL EN EL PENSAMIENTO ECONÓMICO 2A. EDICIÓN.jpg,LA FIGURA EMPRESARIAL EN EL PENSAMIENTO ECONÓMICO 2A. EDICIÓN.jpg,title,la figura empresarial en el pensamiento economico 2a edicion,review,79.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\    🤓 AUTORES\   CATEGORÍAS\  🌗 Ancaps-Voluntaristas\  Jesús Huerta de Soto\Artículos\Artículos cortos\Huerta - El Pensamiento Económico en la Antigua Grecia.pdf,Huerta - El Pensamiento Económico en la Antigua Grecia.pdf,Huerta - El Pensamiento Económico en la Antigua Grecia.pdf,79.0, Rothbard - Historia del Pensamiento Económico I.pdf,77.3
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\La Inteligencia del Dinero.jpg,La Inteligencia del Dinero.jpg,title,la inteligencia del dinero,review,85.7,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\➕ TEMAS VARIOS\⚛️ Ciencias\Capella - Inteligencia.pdf,Capella - Inteligencia.pdf,Rothbard - Jean Buridan y la teoría del dinero.pdf,78.3,Hülsman - Ludwig von Mises y la naturaleza del dinero.pdf,76.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\La Libre Empresa - Francisco Pérez de Anton.jpg,La Libre Empresa - Francisco Pérez de Anton.jpg,title,la libre empresa francisco perez de anton,no_match,59.8,token_set,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 💹 Capitalismo y Libre Mercado\  Libre Mercado\Raíces cristianas de la economía de libre mercado.PDF,Raíces cristianas de la economía de libre mercado.PDF,Caplan - La eficiencia de la libre competencia.pdf,58.5,Patrulla de Policía Especial de San Francisco_ Anarquismo y policía.pdf,58.3
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\La metodología del análisis económico.jpg,La metodología del análisis económico.jpg,title,la metodologia del analisis economico,review,87.6,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   🏛️ ESTATISMO\ Tipos de Estatismos\ 🪤 Socialismo\Artículos\Hoppe - El Socialismo de Ingeniería Social y Los Fundamentos del Análisis Económico.pdf,Hoppe - El Socialismo de Ingeniería Social y Los Fundamentos del Análisis Económico.pdf,Schumpeter - Historia del Análisis Económico_.pdf,87.1,"Análisis Económico del Derecho Privado - R.M. Rojas, Schenone, Stordeur (h).pdf",78.6
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Biblioteca de la Libertad\Sentido Liberal - Héctor Ñaupari.jpg,Sentido Liberal - Héctor Ñaupari.jpg,title,sentido liberal hector naupari,no_match,72.2,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\ 🏰 HISTORIA\Ⓐ Ejemplos de Anarquismo_\z. MÁS\ Liberland\ Presentación liberland.pdf, Presentación liberland.pdf,Kant y el Pensamiento Liberal Contemporáneo.pdf,64.3,Jasay - Liberalismo en sentido amplio y en sentido estricto.pdf,56.5
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Clásicos de la Libertad\_ensayos-de-teoria-economica-volumen-i.jpg,_ensayos-de-teoria-economica-volumen-i.jpg,title,ensayos de teoria economica volumen i,review,76.5,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 🪙 Historia Económica\Skousen - La Formación de la Teoria Económica Moderna.pdf,Skousen - La Formación de la Teoria Económica Moderna.pdf,Bylund - Cómo pensar la teoría económica.pdf,75.0,Propósitos y genealogía de la Teoría Económica Neoclásica. Apuntes críticos. 1ª Parte .pdf,74.3
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección Avance\Guia-de-la-Libertad-para-principiantes.jpg,Guia-de-la-Libertad-para-principiantes.jpg,title,guia de la libertad para principiantes,auto,90.6,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\ Guía de la accion humana para principiantes.pdf, Guía de la accion humana para principiantes.pdf,Libertad de la acción.pdf,80.0,Guia de Armas.pdf,78.3
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\71RQGIcbh-L._SY466_.jpg,71RQGIcbh-L._SY466_.jpg,title,71rqgicbh l sy466,no_match,48.0,partial,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   💱 ECONOMÍA\ 🏛️ Intervencionismo\Crisis y ciclos\J.Ch.Say-Listy.pdf,J.Ch.Say-Listy.pdf,koebrich_samuel.pdf,46.2,Kohlhaas - Heinrich von Kleist.pdf,43.8
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\como-se-razona-en-filosofia.jpg,como-se-razona-en-filosofia.jpg,title,como se razona en filosofia,no_match,69.6,partial,"D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\    💛 LIBERTAD\   Ⓐ Anarquismo\Artículos\Sobran - Anarquismo, razón e historia.pdf","Sobran - Anarquismo, razón e historia.pdf",SANTO TOMÁS DE AQUINO EN LA FILOSOFÍA DEL DERECHO.pdf,66.7,Simmons - El Anarquismo Filosófico.pdf,63.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\El-amanecer-de-la-libertad.jpg,El-amanecer-de-la-libertad.jpg,title,el amanecer de la libertad,auto,100.0,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\     ✍️ EDITORIAL Acraci\👥 Comunidad\MacGyver - El Amanecer de la Libertad_ La Sociedad Post-Estatista.pdf,MacGyver - El Amanecer de la Libertad_ La Sociedad Post-Estatista.pdf,KANT Y EL PROBLEMA DE LA LIBERTAD.pdf,81.8,Libertad de la acción.pdf,80.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\EL-ESTADO-MODERNO-2.jpg,EL-ESTADO-MODERNO-2.jpg,title,el estado moderno 2,auto,98.4,token_set+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\   🏛️ ESTATISMO\Artículos\Hoppe - Cómo combatir el Estado moderno.pdf,Hoppe - Cómo combatir el Estado moderno.pdf,El Estado en El Tercer Milenio.pdf,81.2,El Estado mínimo frente a las inmunidades_del poder_ Una concepción jurídica desde la _Escuela Austriaca (José María Pernas Alonso).pdf,77.8
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\lecciones-de-historia-del-pensamiento-politico-volumen-ii.jpg,lecciones-de-historia-del-pensamiento-politico-volumen-ii.jpg,title,lecciones de historia del pensamiento politico volumen ii,review,83.1,partial+overlap,D:\Documentos\Acracia\Biblioteca Acracia\   👀 TEMAS\  🧑‍⚖️ DERECHO y JUSTICIA\  Propiedad\Artículos\Carreiro - Libertad y Propiedad en la Historia del Pensamiento Político.pdf,Carreiro - Libertad y Propiedad en la Historia del Pensamiento Político.pdf,Hayek - Historia Economica y Pensamiento Politico.pdf,82.3, Rothbard - Historia del Pensamiento Económico II.pdf,78.0
D:\Documentos\Acracia\Biblioteca Acracia\  😬 Libros FALTANTES\ Unión Editorial\Colección La Antorcha\leo-strauss-sobre-cristianismo-liberalismo-y-economia-1.jpg,leo-strauss-sobre-cristianismo-liberalismo-y-economia-1.jpg,title,leo strauss sobre cristianismo liberalismo y economia 1,review,77.8,partial,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\🗓️ 2023-2024\ Nuevo 2024\ Enero-Junio\Marzo - Abril\Quispe - Liberalismo.pdf,Quispe - Liberalismo.pdf,Observaciones sobre Kant y el _liberalismo.pdf,67.4,Economía familiar.pdf,66.7
