filename,rel_path,abs_path,size_bytes,best_title,best_author,title_source,meta_title,meta_author,page1_title_guess,filename_title,filename_author,page1_text_preview,meta_error,page_error
McCraw - Joseph Schumpeter_ Innovación y Destrucción Creativa_.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\McCraw - Joseph Schumpeter_ Innovación y Destrucción Creativa_.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\McCraw - Joseph Schumpeter_ Innovación y Destrucción Creativa_.pdf,9615046,Joseph Schumpeter,Thomas K. McCraw,meta,Joseph Schumpeter,Thomas K. McCraw,,Joseph Schumpeter_ Innovación y Destrucción Creativa,McCraw,,,
"Schumpeter - Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista.pdf",3775516,"Ciclos económicos : análisis teórico, histórico y estadístico del proceso capitalista","Schumpeter, Joseph A",meta,"Ciclos económicos : análisis teórico, histórico y estadístico del proceso capitalista","Schumpeter, Joseph A",Ciclos económicos,"Ciclos economicos_ Analisis teorico, historico y estadistico del proceso capitalista",Schumpeter,"Ciclos económicos | Análisis teórico, histórico y estadístico | del proceso capitalista | Joseph A. Schumpeter | Prólogo de Fabián Estapé",,
Schumpeter - Historia del Análisis Económico_.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Historia del Análisis Económico_.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Historia del Análisis Económico_.pdf,5212111,Historia del Análisis Económico,Schumpeter,filename,,,,Historia del Análisis Económico,Schumpeter,,,
Schumpeter - Imperialismo Clases Sociales.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Imperialismo Clases Sociales.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Imperialismo Clases Sociales.pdf,14667508,Imperialismo Clases Sociales,Schumpeter,filename,Microsoft Word - Documento2,Administrador,,Imperialismo Clases Sociales,Schumpeter,,,
Schumpeter - Teoría del Desenvolvimiento Económico.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Teoría del Desenvolvimiento Económico.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Teoría del Desenvolvimiento Económico.pdf,34700386,P ® i g f p p # s p ^,Schumpeter,page1,,,P ® i g f p p # s p ^,Teoría del Desenvolvimiento Económico,Schumpeter,..: - * - '-■ • -- m m ^ ^ ^ ^ m ^ ^ ^ ^ ^ ^ ^ | P ® i g f p p # s p ^ | ' i 'raduccwn ■ de s  | jES'0^S PRADOS ÁRRARTE | ■,,
The Liberal Approach to the Past (Michael J. Douma) (Z-Library).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\The Liberal Approach to the Past (Michael J. Douma) (Z-Library).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\The Liberal Approach to the Past (Michael J. Douma) (Z-Library).pdf,1520613,The Liberal Approach to the Past,Z-Library,meta,The Liberal Approach to the Past,,,The Liberal Approach to the Past (Michael J. Douma),Z-Library,,,
 Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf,3064861,Cuándo saber ser escéptico,Gerardo López Sastre,page1,,,Cuándo saber ser escéptico,Hume. Cuándo saber ser escéptico,Gerardo López Sastre,Cuándo saber ser escéptico | G erardo López Sastre,,
" Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf",2748505,"Sobre la Justicia kantiana. Kant el liberal, Kant el anarquista",Todd May,meta,"Sobre la Justicia kantiana. Kant el liberal, Kant el anarquista",Todd May,,"Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista",,,,
" Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf",1112949,Foto: Internet. https://crossexamined.org/wp-content/uploads/2019/02/%C2%BFQu%-,Teixidó,page1,,,Foto: Internet. https://crossexamined.org/wp-content/uploads/2019/02/%C2%BFQu%-,"Necesidades, Valores y Normas desde una Filosofía Científica",Teixidó,Foto: Internet. https://crossexamined.org/wp-content/uploads/2019/02/%C2%BFQu%- | C3%A9-es-la-filosof%C3%ADa-y-por-qu%C3%A9-no-puedes-evitarla_.jpg | 06 | 8 | 7,,
 The Stoic Capitalist (Robert Rosenkranz).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ The Stoic Capitalist (Robert Rosenkranz).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ The Stoic Capitalist (Robert Rosenkranz).pdf,2867481,The Stoic Capitalist,Robert Rosenkranz,filename,,,,The Stoic Capitalist,Robert Rosenkranz,,,
3727820.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\3727820.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\3727820.pdf,90359,NIETZSCHE Y EPICURO,,page1,,,NIETZSCHE Y EPICURO,3727820,,"recibido: xx-xx-xxxx – eStudIoS NIetzSche, 11 (2011), ISSN: 1578-6676, pp. 41-51– aceptado: xx-xx-xxxx | NIETZSCHE Y EPICURO | Nietzsche and Epicurus | Carlos García Gual | rEsumEn: Las numerosas citas de Epicuro en diversos textos de Nietzsche expresan bien  | sus simpatías claras hacia la persona y la doctr",,
AA VV - Anarquismo y nacionalismo.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\AA VV - Anarquismo y nacionalismo.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\AA VV - Anarquismo y nacionalismo.pdf,2940343,Anarquismo y nacionalismo,VV AA,meta,Anarquismo y nacionalismo,VV AA,,Anarquismo y nacionalismo,AA VV,,,
Pelletier - El anarcosindicalismo en Japon.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\Pelletier - El anarcosindicalismo en Japon.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\Pelletier - El anarcosindicalismo en Japon.pdf,1251743,El anarcosindicalismo en Japón,Philippe Pelletier,meta,El anarcosindicalismo en Japón,Philippe Pelletier,,El anarcosindicalismo en Japon,Pelletier,,,
REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf,596666,(Microsoft Word - Emilio Crisi - Revoluci\363n Anarquista Coreana en Manchuria),1929-1932,meta,(Microsoft Word - Emilio Crisi - Revoluci\363n Anarquista Coreana en Manchuria),User,REVOLUCIÓN ANARQUISTA COREANA EN MANCHURIA,REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA,1929-1932,1 | REVOLUCIÓN ANARQUISTA COREANA  | EN MANCHURIA  | (1929-1932)  |   | Aproximación histórica sobre la experiencia de la comuna libertaria  | impulsada por el anarquismo coreano al este de Manchuria  |   |   | Emilio Crisi*  |   |   | Resumen:  | Este libro tiene por objeto profundizar el conocimiento y la información sobre,,
"Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf",316995,"Redalyc.Aproximación pragmática a la teoría del juicio moral, desde la crítica a Kohlberg","Aguirre Dávila, Eduardo",meta,"Redalyc.Aproximación pragmática a la teoría del juicio moral, desde la crítica a Kohlberg","Aguirre Dávila, Eduardo",ISSN: 1692-715X,"Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg",,"Revista Latinoamericana de Ciencias Sociales, | Niñez y Juventud | ISSN: 1692-715X | revistaumanizales@cinde.org.co | Centro de Estudios Avanzados en Niñez y | Juventud | Colombia | Aguirre Dávila, Eduardo | Aproximación pragmática a la teoría del juicio moral, desde la crítica a Kohlberg | Revista Latinoamericana de",,
Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf,75838,Can Stoicism Be Reconciled With Anarchy?,Roderick McMillan,meta,Can Stoicism Be Reconciled With Anarchy?,Roderick McMillan,Can Stoicism Be Reconciled With Anarchy?,Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism,Roderick McMillan,Can Stoicism Be Reconciled With Anarchy? | A comparative examination of Anarcho-Stoicism | Roderick McMillan | 10th August 2024,,
" Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf","      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\ Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf","D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\ Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf",350554,The JBBA | Volume 1 | Issue 1 | July 2018,,page1,,,The JBBA | Volume 1 | Issue 1 | July 2018,"Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain",,The JBBA | Volume 1 | Issue 1 | July 2018 | jbba | the | 13 | 1. Introduction: the anarchist utopia | The basic vision of anarchism – if indeed there can  | be one for such a diffuse and subtle mode of political  | thought – is of a society entirely free of the State  | and all its violence and coercion. The utopia,,
Anarchy Status Updates and Utopia.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarchy Status Updates and Utopia.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarchy Status Updates and Utopia.pdf,388495,"Anarchy, Status Updates, and Utopia",James Grimmelmann,meta,"Anarchy, Status Updates, and Utopia",James Grimmelmann,Pace Law Review,Anarchy Status Updates and Utopia,,"Pace Law Review  | Pace Law Review  | Volume 35  | Issue 1 Fall 2014  | Symposium: Social Media and Social Justice  | Article 5  | September 2014  | Anarchy, Status Updates, and Utopia  | Anarchy, Status Updates, and Utopia  | James Grimmelmann  | University of Maryland Francis King Carey School of Law  | Follow this and",,
Anarquia-de-las-criptomonedas.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarquia-de-las-criptomonedas.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarquia-de-las-criptomonedas.pdf,1238340,Anarquía de las criptomonedas,,meta,Anarquía de las criptomonedas,,política tradicional:,Anarquia-de-las-criptomonedas,,"política tradicional: | Bukele, Milei y Bolsonaro las han usado para  | su discurso de ultraderecha, pero también  | ha incursionado en este mundo Maduro  | y el gobierno cubano.  | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpunk | cyberpun",,
Bitcoins i la criptoanarquia.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Bitcoins i la criptoanarquia.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Bitcoins i la criptoanarquia.pdf,113287,Querol-13,,meta,Querol-13,,Per Francesc X. Esteban Barbero,Bitcoins i la criptoanarquia,,"29  | Bitcoins i la criptoanarquia  | Per Francesc X. Esteban Barbero  |   |   |   |   |   |   |   |   | Motivació  |   | “Un espectre està rondant el món modern, l’espectre de la  | criptoanarquia”. Així comença el Manifest Criptoanarquista,  | un dels documents fundacionals d’aquest moviment, que ja a  | l’any 1992 ens advertia ",,
Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf,1217791,UNIVERSIDAD DE CHILE FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES,Patricio hermosilla,page1,,Patricio hermosilla,UNIVERSIDAD DE CHILE FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES,Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales,,UNIVERSIDAD DE CHILE  |  FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES  |  DEPARTAMENTO DE DERECHO PÚBLICO  |   |   |   |   | Criptomonedas y libertad de empresa  | Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales  |   | PATRICIO HERMOSILLA CASTILLO  |   |   |   |   |   | PROFESOR GUÍA:  | Dr. iur. utr. TEODORO,,
Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf,193840,Crypto Heroínas: las divergencias en tiempos de virtualidad,,page1,,,Crypto Heroínas: las divergencias en tiempos de virtualidad,Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad,,Crypto Heroínas: las divergencias en tiempos de virtualidad | 21 | Cuaderno 170 | Centro de Estudios en Diseño y Comunicación (2022/2023). pp 21-45 ISSN 1668-0227 | T. Stiegwardt | G. Los Santos | Crypto Heroínas:  | Las Divergencias en  | Tiempos de Virtualidad | Tomás Stiegwardt (1)  | Gabriel Los Santos (2) | Resu,,
Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf,520702,Crypto Politics:,,page1,,,Crypto Politics:,Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies,,"148 | Crypto Politics:  | Notes on Sociotechnical Imaginaries of Governance in  | Blockchain Based Technologies | Jan Groos  | * Frankfurt, Germany | Vienna, Austria | Jan Groos studied fine arts at the Academy of Fine Arts Vienna and completed his  | diploma under the direction of Harun Farocki. Together with hi",,
Crypto-Anarchy Decentralized Finance Global Changes.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy Decentralized Finance Global Changes.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy Decentralized Finance Global Changes.pdf,1393652,From Cypherpunks to Decentralized Finance: How Crypto-Anarchy is Redefining Legal and Economic Systems,Alesia Zhuk,meta,From Cypherpunks to Decentralized Finance: How Crypto-Anarchy is Redefining Legal and Economic Systems,Alesia Zhuk,"Markets, Globalization &",Crypto-Anarchy Decentralized Finance Global Changes,,"Markets, Globalization &  | Markets, Globalization &  | Development Review  | Development Review  | Volume 9 | Number 3  | Article 2  | 2024  | From Cypherpunks to Decentralized Finance: How Crypto-Anarchy  | From Cypherpunks to Decentralized Finance: How Crypto-Anarchy  | is Redefining Legal and Economic Systems  | is R",,
Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf,308596,Page 857 - 863,HP,page1,,HP,Page 857 - 863,Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier,,Page 857 - 863  |   |   |   |   |  DOI: https://doij.org/10.10000/IJLMH.116803  |   |   |   |   |   |   |   |   |   |   |   |   | INTERNATIONAL JOURNAL OF LAW  | MANAGEMENT & HUMANITIES  | [ISSN 2581-5369]  | Volume 7 | Issue 1  | 2024  | © 2024 International Journal of Law Management & Humanities  |   |   |   |   |   |   |   |   |   |   |   | Follow this and addition,,
Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf,D:\Documentos\Acracia\Biblioteca Acracia\      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf,648377,Crypto-anarchy: a paradigm shift for society and the legal system,Alesia Zhuk,meta,Crypto-anarchy: a paradigm shift for society and the legal system,Alesia Zhuk,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/380819410",Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA,,"See discussions, stats, and author profiles for this publication at: https://www.researchgate.net/publication/380819410 | Crypto-anarchy: a paradigm shift for society and the legal system | Article  in  Journal of Computer Virology and Hacking Techniques · May 2024 | DOI: 10.1007/s11416-024-00525-1 | CITATI",,
