filename,best_title,best_author,title_source,rel_path
Schumpeter - Historia del Análisis Económico_.pdf,Historia del Análisis Económico,Schumpeter,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Historia del Análisis Económico_.pdf
Schumpeter - Imperialismo Clases Sociales.pdf,Imperialismo Clases Sociales,Schumpeter,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Imperialismo Clases Sociales.pdf
Schumpeter - Teoría del Desenvolvimiento Económico.pdf,P ® i g f p p # s p ^,Schumpeter,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\Schumpeter - Teoría del Desenvolvimiento Económico.pdf
The Liberal Approach to the Past (Michael J. Douma) (Z-Library).pdf,The Liberal Approach to the Past,Z-Library,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\   Marzo\The Liberal Approach to the Past (Michael J. Douma) (Z-Library).pdf
 Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf,Cuándo saber ser escéptico,Gerardo López Sastre,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Hume. Cuándo saber ser escéptico (Gerardo López Sastre).pdf
" Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf","Sobre la Justicia kantiana. Kant el liberal, Kant el anarquista",Todd May,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Sobre la Justicia kantiana_ Kant el liberal, Kant el anarquista.pdf"
" Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf",Foto: Internet. https://crossexamined.org/wp-content/uploads/2019/02/%C2%BFQu%-,Teixidó,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ Teixidó - Necesidades, Valores y Normas desde una Filosofía Científica_.pdf"
 The Stoic Capitalist (Robert Rosenkranz).pdf,The Stoic Capitalist,Robert Rosenkranz,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\ The Stoic Capitalist (Robert Rosenkranz).pdf
3727820.pdf,NIETZSCHE Y EPICURO,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\3727820.pdf
AA VV - Anarquismo y nacionalismo.pdf,Anarquismo y nacionalismo,VV AA,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\AA VV - Anarquismo y nacionalismo.pdf
Pelletier - El anarcosindicalismo en Japon.pdf,El anarcosindicalismo en Japón,Philippe Pelletier,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\Pelletier - El anarcosindicalismo en Japon.pdf
REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf,(Microsoft Word - Emilio Crisi - Revoluci\363n Anarquista Coreana en Manchuria),1929-1932,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Anarquismo Oriental\REVOLUCIÓN ANARQUISTA COREANA _EN MANCHURIA _(1929-1932).pdf
"Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf","Redalyc.Aproximación pragmática a la teoría del juicio moral, desde la crítica a Kohlberg","Aguirre Dávila, Eduardo",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Aproximación pragmática a la teoría del_juicio moral, desde la crítica a Kohlberg.pdf"
Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf,Can Stoicism Be Reconciled With Anarchy?,Roderick McMillan,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Can Stoicism Be Reconciled With Anarchy_A comparative examination of Anarcho-Stoicism_(Roderick McMillan).pdf
" Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf",The JBBA | Volume 1 | Issue 1 | July 2018,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\ Anarchy, Blockchain and Utopia_ _A theory of political-socioeconomic _systems organised using Blockchain.pdf"
Anarchy Status Updates and Utopia.pdf,"Anarchy, Status Updates, and Utopia",James Grimmelmann,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarchy Status Updates and Utopia.pdf
Anarquia-de-las-criptomonedas.pdf,Anarquía de las criptomonedas,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Anarquia-de-las-criptomonedas.pdf
Bitcoins i la criptoanarquia.pdf,Querol-13,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Bitcoins i la criptoanarquia.pdf
Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf,UNIVERSIDAD DE CHILE FACULTAD DE CIENCIAS JURÍDICAS Y SOCIALES,Patricio hermosilla,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Criptomonedas y libertad de empresa_Memoria para optar al grado de Licenciado en Ciencias Jurídicas y Sociales.pdf
Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf,Crypto Heroínas: las divergencias en tiempos de virtualidad,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Heroínas_ _Las Divergencias en _Tiempos de Virtualidad.pdf
Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf,Crypto Politics:,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto Politics_Notes on Sociotechnical Imaginaries of Governance in Blockchain Based Technologies.pdf
Crypto-Anarchy Decentralized Finance Global Changes.pdf,From Cypherpunks to Decentralized Finance: How Crypto-Anarchy is Redefining Legal and Economic Systems,Alesia Zhuk,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy Decentralized Finance Global Changes.pdf
Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf,Page 857 - 863,HP,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-Anarchy vs. State Sovereignty_ _Navigating the Digital Frontier.pdf
Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf,Crypto-anarchy: a paradigm shift for society and the legal system,Alesia Zhuk,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Crypto-anarchyaparadigmshiftforsocietyandthelegalsystem-ZhukA.pdf
Cryptoeconomics as governance  an intellectual history from  Crypto Anarchy  to  Cryptoeconomics .pdf,Cryptoeconomics as governance: an intellectual history from “Crypto Anarchy” to “Cryptoeconomics”,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Cryptoeconomics as governance  an intellectual history from  Crypto Anarchy  to  Cryptoeconomics .pdf
Cypherpunk.pdf,Volume 11 |,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Cypherpunk.pdf
Decentralized Social Life Theory.pdf,Decentralized Social Life Theory,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Decentralized Social Life Theory.pdf
Hiding Crimes in Cyberspace.pdf,Hiding Crimes in Cyberspace1,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Hiding Crimes in Cyberspace.pdf
Justicia en la red_ el caso del bitcoin y las nuevas instituciones financieras.pdf,Escritores en formación,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Justicia en la red_ el caso del bitcoin y las nuevas instituciones financieras.pdf
On the Existential Basis of Self-Sovereign Identity and Soulbound Tokens_An Examination of the “Self” in the Age of Web3.pdf,Journal of Strategic Innovation and Sustainability Vol. 17(3) 2022,Op6905,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\On the Existential Basis of Self-Sovereign Identity and Soulbound Tokens_An Examination of the “Self” in the Age of Web3.pdf
"Peter Ludlow (Hg.)_ Crypto Anarchy, Cyberstates, and_Pirate Utopias.pdf","Peter Ludlow (Hg.): Crypto Anarchy, Cyberstates, and Pirate Utopias",Shenja van der Graaf,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Peter Ludlow (Hg.)_ Crypto Anarchy, Cyberstates, and_Pirate Utopias.pdf"
Socially Responsible to Crypto Anarchic - Editorial.pdf,From Socially Responsible Enterprises to Crypto-Anarchy: We Cover Quite a Range,"Nikhilesh Dholakia, Deniz Atik, and Delphine Godefroit-Winkel",meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Socially Responsible to Crypto Anarchic - Editorial.pdf
The Art of Crypto Currencies_A Comprehensive Analysis of Popular Crypto Currencies.pdf,"Vol. 7, No. 12, 2016",,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\The Art of Crypto Currencies_A Comprehensive Analysis of Popular Crypto Currencies.pdf
"The first Blockchain, the crypto-anarchist dream.pdf","The first Blockchain, the crypto-anarchist dream",,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\The first Blockchain, the crypto-anarchist dream.pdf"
Trustless Property Systems and Anarchy.pdf,TRUSTLESS PROPERTY SYSTEMS AND ANARCHY: HOW TRUSTLESS TRANSFER,Mark Vincent,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Trustless Property Systems and Anarchy.pdf
Криптоанархизм_идеологическая основа технологии блокчейн.pdf,ЦИФРОВОЕ ПРОСТРАНСТВО ПОЛИТИКИ,,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Criptoanarquismo\Криптоанархизм_идеологическая основа технологии блокчейн.pdf
Crypto_ How the Code Rebels Beat the Government — saving privacy in the digital age (Steven Levy).pdf,Crypto_ How the Code Rebels Beat the Government — saving privacy in the digital age,Steven Levy,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Crypto_ How the Code Rebels Beat the Government — saving privacy in the digital age (Steven Levy).pdf
Desobediencia civil (William E. Scheuerman).pdf,Desobediencia civil,William E. Scheuerman,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Desobediencia civil (William E. Scheuerman).pdf
DESOBEDIENCIA-CIVIL.pdf,Teoría de sistemas y “pensamiento complejo”,jorge riechmann,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\DESOBEDIENCIA-CIVIL.pdf
Graeber - Etnografia de la accion directa.pdf,Etnografía de la acción directa,David Graeber,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Graeber - Etnografia de la accion directa.pdf
La Desobediencia Civil como recurso de la Sociedad Civil para el Alcance de la Justicia.pdf,Redalyc.La desobediencia civil como recurso de la sociedad civil para el alcance de la justicia,"García GONZÁLEZ, Dora Elvira",meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La Desobediencia Civil como recurso de la Sociedad Civil para el Alcance de la Justicia.pdf
La desobediencia civil.pdf,"Revista Dilemas Contemporáneos: Educación, Política y Valores.",Lab5_74,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil.pdf
La desobediencia civil_.pdf,capitulo 1 completo_2017,peppanas,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\La desobediencia civil_.pdf
Las cosas por su nombre_ ¿Objeción de conciencia o _desobediencia civil_.pdf,rbyd28_master,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Desobediencia Civil\Las cosas por su nombre_ ¿Objeción de conciencia o _desobediencia civil_.pdf
Diccionario incorrecto de la nueva normalidad (Carlos Rodríguez Braun).pdf,Diccionario incorrecto de la nueva normalidad (Acción empresarial) (Spanish Edition),Carlos Rodríguez Braun,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Diccionario incorrecto de la nueva normalidad (Carlos Rodríguez Braun).pdf
Diccionario políticamente incorrecto (Carlos Rodríguez Braun).pdf,Diccionario políticamente incorrecto,Carlos Rodríguez Braun,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Diccionario políticamente incorrecto (Carlos Rodríguez Braun).pdf
Economía de los no economistas (Carlos Rodríguez Braun).pdf,Economía de los no economistas 🌊𝐒𝐞𝐚 𝐨𝐟 𝐋𝐞𝐭𝐭𝐞𝐫𝐬🌛,Carlos Rodríguez Braun,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Economía de los no economistas (Carlos Rodríguez Braun).pdf
Egoist-Communism_ What It Is and What It_Isn’t.pdf,Egoist-Communism: What It Is and What It Isn’t,Dr. Bones,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Egoist-Communism_ What It Is and What It_Isn’t.pdf
Elementos de Economía Política_.pdf,Elementos de Economía Política / James Mill,Universidad de Sevilla. Biblioteca de la Facultad de Derecho. jabyn@us.es,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Elementos de Economía Política_.pdf
"Ensayos económicos los orígenes del capitalismo moderno (David Hume, Javier Ugarte Pérez).pdf",Ensayos económicos: los orígenes del capitalismo moderno,"Hume, David; Ugarte Pérez, Javier;",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Ensayos económicos los orígenes del capitalismo moderno (David Hume, Javier Ugarte Pérez).pdf"
F.A. HAYEK 1899-1992_ALBUM BIOGRÁFICO.pdf,INDICE PROGRAMA ECONOMIA – ESCUELA AUSTRIACA,Juan Torras,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Escuela Austriaca\F.A. HAYEK 1899-1992_ALBUM BIOGRÁFICO.pdf
Fundamentos de la Escuela Austriaca sobre el capital y los_ciclos económicos e invitación al diálogo con la síntesis_neoclásica.pdf,Fundamentos de la Escuela Austriaca sobre el capital y los ciclos económicos e invitación al diálogo con la síntesis neoclásica,"Sánchez-Bayón, Antonio; Castro-Oliva, Marcos",meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Escuela Austriaca\Fundamentos de la Escuela Austriaca sobre el capital y los_ciclos económicos e invitación al diálogo con la síntesis_neoclásica.pdf
La Escuela Austríaca en el Siglo XXI.pdf,Modelo Blogs PDF,,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Escuela Austriaca\La Escuela Austríaca en el Siglo XXI.pdf
Ethics As Social Science The Moral Philosophy of Social Cooperation (New Thinking in Political Economy) (Leland B. Yeager).pdf,Ethics As Social Science The Moral Philosophy of Social Cooperation (New Thinking in Political Economy),Leland B. Yeager,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Ethics As Social Science The Moral Philosophy of Social Cooperation (New Thinking in Political Economy) (Leland B. Yeager).pdf
Hume - Ensayos políticos.pdf,Ensayos políticos,David Hume,filename,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Hume - Ensayos políticos.pdf
James and John Stuart Mill  Father and Son in the 19th Century (Bruce Mazlish).pdf,James and John Stuart Mill,Bruce Mazlish,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\James and John Stuart Mill  Father and Son in the 19th Century (Bruce Mazlish).pdf
 Kant_ Liberal y Anti-relativista.pdf,KANT: LIBERAL Y ANTI-RELATIVISTA*,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\ Kant_ Liberal y Anti-relativista.pdf"
Contradicciones y posibilidades del liberalismo _utilitarista como ideología moderna.pdf,"ColombiaInternacional 71, enero a junio de 2010: 265-282",,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Contradicciones y posibilidades del liberalismo _utilitarista como ideología moderna.pdf"
El concepto de libertad en la Crítica de la razón práctica.pdf,Derechos fundamentales y justicia desde la perspectiva política,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\El concepto de libertad en la Crítica de la razón práctica.pdf"
El Pensamiento Libertario de William Godwin_ Utilitarismo _y Racionalidad Instrumental.pdf,Enero/Junio 2013,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\El Pensamiento Libertario de William Godwin_ Utilitarismo _y Racionalidad Instrumental.pdf"
ENCRUCIJADA POLÍTICA_ KANT ENTRE_EL LIBERALISMO Y EL REPUBLICANISMO_(PEDRO MEZA HERNÁNDEZ).pdf,00a-Directorio,Elizabeth,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\ENCRUCIJADA POLÍTICA_ KANT ENTRE_EL LIBERALISMO Y EL REPUBLICANISMO_(PEDRO MEZA HERNÁNDEZ).pdf"
FUERZA Y LIBERTAD_ LA FILOSOFÍA KAN-_TIANA DEL DERECHO.pdf,CAPÍTULO 49,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\FUERZA Y LIBERTAD_ LA FILOSOFÍA KAN-_TIANA DEL DERECHO.pdf"
"IMMANUEL KANT, LA ILUSTRACIÓN, _EL INDIVIDUO Y EL ESTADO._EXAMEN Y CRÍTICA.pdf","IMMANUEL KANT, LA ILUSTRACIÓN,",,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\IMMANUEL KANT, LA ILUSTRACIÓN, _EL INDIVIDUO Y EL ESTADO._EXAMEN Y CRÍTICA.pdf"
J_S_Mill_utilitarismo_y_liberalismo.pdf,JOHN STUART MILL,Eugenio,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\J_S_Mill_utilitarismo_y_liberalismo.pdf"
Kant y el Pensamiento Liberal Contemporáneo.pdf,Kant y el pensamiento liberal contemporáneo,Paulette Dieterlen,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Kant y el Pensamiento Liberal Contemporáneo.pdf"
KANT Y EL PROBLEMA DE LA LIBERTAD.pdf,KANT Y EL PROBLEMA DE LA LIBERTAD MARÍA DE LOS ÁNGELES PÉREZ MELÉNDEZ,Jorge Luis,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\KANT Y EL PROBLEMA DE LA LIBERTAD.pdf"
Kant y Rawls_ ¿liberales e individualistas_.pdf,Roberto Casales García*,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Kant y Rawls_ ¿liberales e individualistas_.pdf"
"Kant, el Filósofo de la Libertad_.pdf",Prim71.p65,YMORALESG,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Kant, el Filósofo de la Libertad_.pdf"
Kant_ ¿liberal o republicano_.pdf,CON-TEXTOS KANTIANOS.,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Kant_ ¿liberal o republicano_.pdf"
La doctrina kantiana de la_reciprocidad entre libertad y_razón.pdf,La doctrina kantiana de la reciprocidad entre libertad y razón,William H. Bossart; Ana María Apreda,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\La doctrina kantiana de la_reciprocidad entre libertad y_razón.pdf"
La moral y el derecho positivo_kantiano_ ¿cómo pensamos la_libertad_.pdf,La moral y el derecho positivo kantiano: ¿cómo pensamos la libertad?,"Alonso, Nicolás y Corral, Soledad",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\La moral y el derecho positivo_kantiano_ ¿cómo pensamos la_libertad_.pdf"
Las categorías de la libertad en Kant.pdf,"© PENSAMIENTO, ISSN 0031-4749",,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Las categorías de la libertad en Kant.pdf"
Liberalismo y republicanismo _en la concepción kantiana_de «ciudadanía».pdf,"Redalyc.Liberalismo y republicanismo en la concepción kantiana de ""ciudadanía""","Beade, Ileana P.",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Liberalismo y republicanismo _en la concepción kantiana_de «ciudadanía».pdf"
Observaciones sobre Kant y el _liberalismo.pdf,FILOSOFÍAS DEL PODER Y USOS DEL DERECHO,,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Observaciones sobre Kant y el _liberalismo.pdf"
Sobre la Libertad de Kant.pdf,UNIVERSIDAD DE COSTA RICA ESCUELA DE FILOSOFÍA,Dirección Filosofía,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\Sobre la Libertad de Kant.pdf"
"UTILITARISMO Y LIBERALISMO. _AMISTAD, UNION Y ULTERIOR DIVORCIO.pdf",RÜCKHER ZU MENGER,COI,meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\UTILITARISMO Y LIBERALISMO. _AMISTAD, UNION Y ULTERIOR DIVORCIO.pdf"
¿Es la filosofía de Kant individualista_.pdf,¿ES LA FILOSOFÍA DE KANT INDIVIDUALISTA?,carlos,page1,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Kant, Utilitarismo\¿Es la filosofía de Kant individualista_.pdf"
La filosofia helenistica en la historiografia anarquista.pdf,La filosofía helenística en la configuración de la historiografía anarquista,Roberto Valdez Rangel,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\La filosofia helenistica en la historiografia anarquista.pdf
La Ética del Pragmatismo_.pdf,La ética del pragmatismo [The ethics of pragmatism],,page1,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\La Ética del Pragmatismo_.pdf
"Más economía para andar por casa (Olvido Macías Valle, etc.).pdf",Más economía para andar por casa 🌊𝐒𝐞𝐚 𝐨𝐟 𝐋𝐞𝐭𝐭𝐞𝐫𝐬🌛,"Olvido Macías Valle, etc.",meta,"      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Más economía para andar por casa (Olvido Macías Valle, etc.).pdf"
Panfletos liberales III (Carlos Rodríguez Braun).pdf,Panfletos liberales III,Carlos Rodríguez Braun,meta,      😱 NUEVO 2026\ 🗓️ NUEVO 2025\  📅 MESES 2025\ Junio\Panfletos liberales III (Carlos Rodríguez Braun).pdf
