pdf,thumb,ok,width,height,bytes,error
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Atrazine Primer-panna.org.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Atrazine Primer-panna.org.cover.jpg",True,464,600,59240,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Hermaphroditic demasculinized frogs after exposure to Atrazine - Tyrone_Hayes_2002_Paper.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Hermaphroditic demasculinized frogs after exposure to Atrazine - Tyrone_Hayes_2002_Paper.cover.jpg",True,472,600,87293,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Journal of Andrology - 2013 - TRENTACOSTE - Atrazine Effects on Testosterone Levels and Androgen‐Dependent Reproductive.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Atrazine - Pesticide and Endocrine Disruptor\Journal of Andrology - 2013 - TRENTACOSTE - Atrazine Effects on Testosterone Levels and Androgen‐Dependent Reproductive.cover.jpg",True,450,600,67045,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\BPA and BPS\BPA and BPS_Toxic_Plastics_Can_liners.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\BPA and BPS\BPA and BPS_Toxic_Plastics_Can_liners.cover.jpg",True,464,600,65573,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Breakfast_With_a_Dose_of_Roundup-EWG_2018_Glyphosate_Study.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Breakfast_With_a_Dose_of_Roundup-EWG_2018_Glyphosate_Study.cover.jpg",True,600,464,41094,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Chemotherapy\vernoncoleman.org-Chemotherapy Fraudulent and Deadly.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Chemotherapy\vernoncoleman.org-Chemotherapy Fraudulent and Deadly.cover.jpg",True,464,600,50487,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Glyphosate (Monsanto RoundUp) in Wheat, Oats, and Veggies\Breakfast_With_a_Dose_of_Roundup-EWG_2018_Glyphosate_Study.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Glyphosate (Monsanto RoundUp) in Wheat, Oats, and Veggies\Breakfast_With_a_Dose_of_Roundup-EWG_2018_Glyphosate_Study.cover.jpg",True,600,464,41094,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Glyphosate (Monsanto RoundUp) in Wheat, Oats, and Veggies\FDN_Glyphosate_FoodTesting_Report_p2016-3.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Glyphosate (Monsanto RoundUp) in Wheat, Oats, and Veggies\FDN_Glyphosate_FoodTesting_Report_p2016-3.cover.jpg",True,464,600,79299,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Refined Grains\Top 10 Reasons Grains Make You Sick by michael kummer.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Refined Grains\Top 10 Reasons Grains Make You Sick by michael kummer.cover.jpg",True,464,600,52350,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\06-25-19-Vaxxed-vs-Unvaxxed-Slides.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\06-25-19-Vaxxed-vs-Unvaxxed-Slides.cover.jpg",True,600,338,35461,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\20 THINGS YOU DONT KNOW ABOUT POLIO.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\20 THINGS YOU DONT KNOW ABOUT POLIO.cover.jpg",True,464,600,64642,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\48873448-Vaccine-Report-International-Medical-Council-on-Vaccination.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\48873448-Vaccine-Report-International-Medical-Council-on-Vaccination.cover.jpg",True,464,600,47239,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\CDC_Paul_Thorsen_Web-of-Alleged-Fraud.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\CDC_Paul_Thorsen_Web-of-Alleged-Fraud.cover.jpg",True,600,464,79397,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\dr.-andrew-moulden-every-vaccine-produces-harm-2.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\dr.-andrew-moulden-every-vaccine-produces-harm-2.cover.jpg",True,464,600,35945,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Gardasils_Fraudulent_Research_Revealed_Robert_F_Kennedy.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Gardasils_Fraudulent_Research_Revealed_Robert_F_Kennedy.cover.jpg",True,464,600,50734,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Illegal vaccine link to Gulf war syndrome- Squalene - The Guardian.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Illegal vaccine link to Gulf war syndrome- Squalene - The Guardian.cover.jpg",True,464,600,58855,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\New Quality-Control Investigations on Vaccines- Contaminents Found in Most Vaccines.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\New Quality-Control Investigations on Vaccines- Contaminents Found in Most Vaccines.cover.jpg",True,425,600,65641,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Physicians-Warranty-of-Vaccine-Safety.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Physicians-Warranty-of-Vaccine-Safety.cover.jpg",True,464,600,27164,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\The-Simpsonwood-Documents-including_Transcript.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\The-Simpsonwood-Documents-including_Transcript.cover.jpg",True,464,600,31317,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\THE_POISONED_NEEDLE_by_Elanor_McBean_1957.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\THE_POISONED_NEEDLE_by_Elanor_McBean_1957.cover.jpg",True,464,600,82547,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccination and Depopulation_in Mexico_Mike_Adams.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccination and Depopulation_in Mexico_Mike_Adams.cover.jpg",True,464,600,50020,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccinations-Deadly_Immunity_Robert_F_Kennedy.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccinations-Deadly_Immunity_Robert_F_Kennedy.cover.jpg",True,464,600,41526,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccines_and_Sudden_Infant_Death_Syndrome.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\Vaccines_and_Sudden_Infant_Death_Syndrome.cover.jpg",True,450,600,60359,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\WHO_Sterilization_Chemicals_in_Vaccines.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Vaccines\WHO_Sterilization_Chemicals_in_Vaccines.cover.jpg",True,443,600,56665,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Water Fluoridation\fluoridealert.org-Fluoride  and IQ - 53 Studies and summary.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Diet, Injections and Injunctions - Poisoning Food, Water, and Vaccines\Water Fluoridation\fluoridealert.org-Fluoride  and IQ - 53 Studies and summary.cover.jpg",True,464,600,69315,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\EMFs, HAARP and Frequency Warfare\Corey_Haag_Primer_on_Microwaves_5G.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\EMFs, HAARP and Frequency Warfare\Corey_Haag_Primer_on_Microwaves_5G.cover.jpg",True,418,600,38168,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Engineered Food Shortages\Manufactured Food Shortage Farm Land as of April 2023.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Engineered Food Shortages\Manufactured Food Shortage Farm Land as of April 2023.cover.jpg,True,464,600,85398,
"D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Environmental, Social and Governance (ESG) Scores\April_2023-ESG-Report_Heartland_Institute.pdf","D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Environmental, Social and Governance (ESG) Scores\April_2023-ESG-Report_Heartland_Institute.cover.jpg",True,464,600,67074,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Government Public Pension Corruption\2015-Top-200-Illinois-Public-Pension-Corruption.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Government Public Pension Corruption\2015-Top-200-Illinois-Public-Pension-Corruption.cover.jpg,True,600,464,63009,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Government Public Pension Corruption\Chicago-Police-Pension-Corruption.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Government Public Pension Corruption\Chicago-Police-Pension-Corruption.cover.jpg,True,464,600,56281,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Hunter and Joe Biden Corruption and Treason\481263430-Hunter-Biden-Report.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Hunter and Joe Biden Corruption and Treason\481263430-Hunter-Biden-Report.cover.jpg,True,425,600,26077,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Hunter and Joe Biden Corruption and Treason\nypost.com-Inside the shady private equity firm run by Kerry and Bidens kids.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Hunter and Joe Biden Corruption and Treason\nypost.com-Inside the shady private equity firm run by Kerry and Bidens kids.cover.jpg,True,464,600,38370,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\How to Make a Mint_ The Cryptography of Anonymous Electronic Cash.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\How to Make a Mint_ The Cryptography of Anonymous Electronic Cash.cover.jpg,True,399,600,40539,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\Israeli_Talpiot_Program_Spies_in_the_Ointment_AMDOCS_Comverse_Checkpoint_Narus.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\Israeli_Talpiot_Program_Spies_in_the_Ointment_AMDOCS_Comverse_Checkpoint_Narus.cover.jpg,True,464,600,48587,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\NSA_Zombie_Slides (3) (2020_05_07 01_01_44 UTC).pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\NSA_Zombie_Slides (3) (2020_05_07 01_01_44 UTC).cover.jpg,True,464,600,30412,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\The CIA Democrats - Parts 1-3 by Patrick Martin.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\The CIA Democrats - Parts 1-3 by Patrick Martin.cover.jpg,True,464,600,38476,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\The Origins of the Overclass & A Timeline of CIA Atrocities.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\The Origins of the Overclass & A Timeline of CIA Atrocities.cover.jpg,True,464,600,63354,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\Why Google made the NSA_by_Nafeez_Ahmen.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\Why Google made the NSA_by_Nafeez_Ahmen.cover.jpg,True,464,600,47488,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\wsws.org-The CIA Democrats in the 2020 elections.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Intelligence Agency Crimes-CIA NSA\wsws.org-The CIA Democrats in the 2020 elections.cover.jpg,True,464,600,68607,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Contractors_employers_Banks_Tax_Refusal.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Contractors_employers_Banks_Tax_Refusal.cover.jpg,True,389,600,61136,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Controlling_Fed_Tax_Withholding.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Controlling_Fed_Tax_Withholding.cover.jpg,True,389,600,61714,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\How_to_Resist_Collection.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\How_to_Resist_Collection.cover.jpg,True,389,600,58595,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\NWTRCC_WhyHow_to_Refuse_WarTax_brochure_2018.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\NWTRCC_WhyHow_to_Refuse_WarTax_brochure_2018.cover.jpg,True,600,365,64406,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Self_Employment_For_Tax_refusal.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\Self_Employment_For_Tax_refusal.cover.jpg,True,389,600,58817,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\To_File_or_Not_File.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\To_File_or_Not_File.cover.jpg,True,389,600,51160,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\WarTax_Resitance_at a glance-readers 2018.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\IRS Fraud and Criminality\War Tax Resistance (Quit Paying Your Taxes to Fund War)\WarTax_Resitance_at a glance-readers 2018.cover.jpg,True,389,600,40567,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Audits Of US Monetary Gold Severely Lack Credibility.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Audits Of US Monetary Gold Severely Lack Credibility.cover.jpg,True,464,600,54683,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Mapping-the-Swamp-Open-the-Books.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Mapping-the-Swamp-Open-the-Books.cover.jpg,True,464,600,61665,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Military Industrial Complex Fraud\DoD Inspector General Exposes TransDigm Criminal Fraud.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\Military Industrial Complex Fraud\DoD Inspector General Exposes TransDigm Criminal Fraud.cover.jpg,True,464,600,42963,
D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\The Pentagon’s Massive Accounting Fraud Exposed-The Nation.pdf,D:\Documentos\The Liberator\The Liberator 1 - Government Scam\Government  and Wall St Crime and Corruption\Missing Trillions and TARP Bailouts\The Pentagon’s Massive Accounting Fraud Exposed-The Nation.cover.jpg,True,464,600,57546,
